lat,long,compon_n,compon_e,erro_n,erro_e
16,-94,-0.0029,-0.0045,0.0017,0.0014
16,-93,-0.0026,-0.0046,0.0018,0.0016
16,-92,-0.0014,-0.0044,0.0014,0.0013
16,-91,-0.0022,-0.0052,0.0022,0.0025
16,-90,-0.0023,-0.0057,0.0014,0.0035
16,-89,-0.0012,-0.0043,0.0018,0.0044
16,-88,0.0007,0,0.0029,0.0072
16,-87,0.0042,0.0062,0.0019,0.0047
16,-86,0.0035,0.0065,0.0027,0.0046
16,-85,0.004,0.0079,0.0027,0.0053
16,-84,0.0045,0.0079,0.0027,0.0053
16,-83,0.0036,0.0073,0.0016,0.0051
16,-82,0.0042,0.0076,0.0016,0.0051
16,-81,0.0047,0.0077,0.0016,0.0051
16,-80,0.0043,0.0071,0.0017,0.0061
16,-79,0.0054,0.0111,0.0001,0.0006
16,-78,0.0054,0.0097,0.0003,0.001
16,-77,0.0061,0.0102,0.0003,0.001
16,-76,0.0065,0.01,0.0004,0.001
16,-75,0.0073,0.0099,0.0009,0.0009
16,-74,0.0073,0.0102,0.002,0.0009
16,-73,0.0076,0.0104,0.0019,0.0011
16,-72,0.0068,0.0105,0.001,0.0011
16,-71,0.0068,0.0097,0.001,0.0016
16,-70,0.0077,0.0103,0.0009,0.001
16,-69,0.0087,0.0099,0.0017,0.001
16,-68,0.0113,0.0109,0.0011,0.0009
16,-67,0.0123,0.0115,0.0003,0.0002
16,-66,0.0123,0.0121,0.0003,0.0008
16,-65,0.0126,0.0117,0.0003,0.0008
16,-64,0.0162,0.0118,0.0039,0.0014
16,-63,0.0161,0.0119,0.0037,0.0012
16,-62,0.0163,0.0121,0.0035,0.0012
16,-61,0.0167,0.0122,0.0036,0.0012
16,-60,0.0145,0.0126,0.0003,0.0008
15,-93,-0.0022,-0.0039,0.0019,0.0018
15,-92,-0.0015,-0.0031,0.0028,0.0026
15,-91,-0.0006,-0.0026,0.0028,0.0039
15,-90,-0.0007,-0.0016,0.0023,0.0047
15,-89,0.0004,0.0001,0.0025,0.0052
15,-88,0.002,0.0068,0.0012,0.0032
15,-87,0.004,0.0099,0.0013,0.0018
15,-86,0.0046,0.01,0.0013,0.0019
15,-85,0.0053,0.0106,0.0012,0.0021
15,-84,0.0045,0.0085,0.0027,0.0053
15,-83,0.0039,0.0096,0.0016,0.005
15,-82,0.0052,0.0122,0.0006,0.0005
15,-81,0.0057,0.0122,0.0006,0.0005
15,-80,0.0055,0.012,0.0005,0.0006
15,-79,0.0054,0.011,0.0007,0.0012
15,-78,0.0056,0.0108,0.0003,0.001
15,-77,0.006,0.0105,0.0004,0.001
15,-76,0.0065,0.0105,0.0004,0.001
15,-75,0.0073,0.0107,0.0008,0.001
15,-74,0.0094,0.0112,0.0013,0.0004
15,-73,0.0098,0.0109,0.0031,0.0008
15,-72,0.0102,0.0118,0.0016,0.0006
15,-71,0.0107,0.0118,0.0016,0.0006
15,-70,0.0101,0.0116,0.0021,0.0008
15,-69,0.0104,0.0114,0.002,0.0012
15,-68,0.012,0.0121,0.0004,0.0002
15,-67,0.0121,0.0122,0.0005,0.0006
15,-66,0.0122,0.0124,0.0004,0.0009
15,-65,0.0144,0.0122,0.0033,0.0011
15,-64,0.0162,0.0123,0.0039,0.0013
15,-63,0.0165,0.0125,0.004,0.0013
15,-62,0.0152,0.0129,0.0033,0.0012
15,-61,0.0141,0.0132,0.0003,0.0006
15,-60,0.0145,0.0134,0.0003,0.0006
15,-59,0.0148,0.0131,0.0004,0.0008
14,-92,0.0003,-0.0015,0.0033,0.003
14,-91,0.0022,0.0012,0.003,0.0042
14,-90,0.0018,0.0026,0.0029,0.0048
14,-89,0.0015,0.0044,0.0022,0.0048
14,-88,0.002,0.0076,0.0012,0.0032
14,-87,0.0033,0.009,0.0015,0.0011
14,-86,0.0045,0.0088,0.0013,0.0012
14,-85,0.0052,0.0095,0.0012,0.0022
14,-84,0.0051,0.0114,0.0013,0.0019
14,-83,0.005,0.0128,0.0006,0.0005
14,-82,0.0052,0.0128,0.0006,0.0005
14,-81,0.0056,0.0128,0.0006,0.0005
14,-80,0.0062,0.0128,0.0006,0.0005
14,-79,0.006,0.0126,0.0005,0.0006
14,-78,0.0064,0.0111,0.0015,0.0018
14,-77,0.0086,0.0104,0.0024,0.0019
14,-76,0.0098,0.0104,0.0025,0.0018
